Node Name,Output Tensor Name,Output Tensor Size
Conv_19_quant,1041_QuantizeInput,"(1, 64, 56, 56)"
1041_Conv_19_QuantizeLinear,1041_quantized,"(1, 64, 56, 56)"
1041_Conv_21_DequantizeLinear,1041_Conv_21_dequantized,"(1, 64, 56, 56)"
Conv_21_quant,1044_QuantizeInput,"(1, 256, 56, 56)"
1044_Conv_21_QuantizeLinear,1044_quantized,"(1, 256, 56, 56)"
1044_Conv_21_DequantizeLinear,1044,"(1, 256, 56, 56)"
Add_22,671,"(1, 256, 56, 56)"
Relu_23,672,"(1, 256, 56, 56)"
672_Conv_24_QuantizeLinear,672_Conv_24_QuantizeLinear,"(1, 256, 56, 56)"
672_Conv_24_DequantizeLinear,672_Conv_24_dequantized,"(1, 256, 56, 56)"
Conv_24_quant,1047_QuantizeInput,"(1, 64, 56, 56)"
1047_Conv_24_QuantizeLinear,1047_quantized,"(1, 64, 56, 56)"
1047_Conv_26_DequantizeLinear,1047_Conv_26_dequantized,"(1, 64, 56, 56)"
Conv_26_quant,1050_QuantizeInput,"(1, 64, 56, 56)"
1050_Conv_26_QuantizeLinear,1050_quantized,"(1, 64, 56, 56)"
1050_Conv_28_DequantizeLinear,1050_Conv_28_dequantized,"(1, 64, 56, 56)"
Conv_28_quant,1053_QuantizeInput,"(1, 256, 56, 56)"
1053_Conv_28_QuantizeLinear,1053_quantized,"(1, 256, 56, 56)"
1053_Conv_28_DequantizeLinear,1053,"(1, 256, 56, 56)"
Add_29,681,"(1, 256, 56, 56)"
Relu_30,682,"(1, 256, 56, 56)"
682_Conv_36_QuantizeLinear,682_Conv_36_QuantizeLinear,"(1, 256, 56, 56)"
682_Conv_36_DequantizeLinear,682_Conv_36_dequantized,"(1, 256, 56, 56)"
Conv_36_quant,1065_QuantizeInput,"(1, 512, 28, 28)"
Conv_31_quant,1056_QuantizeInput,"(1, 128, 56, 56)"
1065_Conv_36_QuantizeLinear,1065_quantized,"(1, 512, 28, 28)"
1056_Conv_31_QuantizeLinear,1056_quantized,"(1, 128, 56, 56)"
1065_Conv_36_DequantizeLinear,1065,"(1, 512, 28, 28)"
1056_Conv_33_DequantizeLinear,1056_Conv_33_dequantized,"(1, 128, 56, 56)"
Conv_33_quant,1059_QuantizeInput,"(1, 128, 28, 28)"
1059_Conv_33_QuantizeLinear,1059_quantized,"(1, 128, 28, 28)"
1059_Conv_35_DequantizeLinear,1059_Conv_35_dequantized,"(1, 128, 28, 28)"
Conv_35_quant,1062_QuantizeInput,"(1, 512, 28, 28)"
1062_Conv_35_QuantizeLinear,1062_quantized,"(1, 512, 28, 28)"
1062_Conv_35_DequantizeLinear,1062,"(1, 512, 28, 28)"
Add_37,693,"(1, 512, 28, 28)"
Relu_38,694,"(1, 512, 28, 28)"
694_Conv_39_QuantizeLinear,694_Conv_39_QuantizeLinear,"(1, 512, 28, 28)"
694_Conv_39_DequantizeLinear,694_Conv_39_dequantized,"(1, 512, 28, 28)"
Conv_39_quant,1068_QuantizeInput,"(1, 128, 28, 28)"
1068_Conv_39_QuantizeLinear,1068_quantized,"(1, 128, 28, 28)"
1068_Conv_41_DequantizeLinear,1068_Conv_41_dequantized,"(1, 128, 28, 28)"
Conv_41_quant,1071_QuantizeInput,"(1, 128, 28, 28)"
1071_Conv_41_QuantizeLinear,1071_quantized,"(1, 128, 28, 28)"
1071_Conv_43_DequantizeLinear,1071_Conv_43_dequantized,"(1, 128, 28, 28)"
Conv_43_quant,1074_QuantizeInput,"(1, 512, 28, 28)"
1074_Conv_43_QuantizeLinear,1074_quantized,"(1, 512, 28, 28)"
1074_Conv_43_DequantizeLinear,1074,"(1, 512, 28, 28)"
Add_44,703,"(1, 512, 28, 28)"
Relu_45,704,"(1, 512, 28, 28)"
704_Conv_46_QuantizeLinear,704_Conv_46_QuantizeLinear,"(1, 512, 28, 28)"
704_Conv_46_DequantizeLinear,704_Conv_46_dequantized,"(1, 512, 28, 28)"
Conv_46_quant,1077_QuantizeInput,"(1, 128, 28, 28)"
1077_Conv_46_QuantizeLinear,1077_quantized,"(1, 128, 28, 28)"
1077_Conv_48_DequantizeLinear,1077_Conv_48_dequantized,"(1, 128, 28, 28)"
Conv_48_quant,1080_QuantizeInput,"(1, 128, 28, 28)"
1080_Conv_48_QuantizeLinear,1080_quantized,"(1, 128, 28, 28)"
1080_Conv_50_DequantizeLinear,1080_Conv_50_dequantized,"(1, 128, 28, 28)"
Conv_50_quant,1083_QuantizeInput,"(1, 512, 28, 28)"
1083_Conv_50_QuantizeLinear,1083_quantized,"(1, 512, 28, 28)"
1083_Conv_50_DequantizeLinear,1083,"(1, 512, 28, 28)"
Add_51,713,"(1, 512, 28, 28)"
Relu_52,714,"(1, 512, 28, 28)"
714_Conv_53_QuantizeLinear,714_Conv_53_QuantizeLinear,"(1, 512, 28, 28)"
714_Conv_53_DequantizeLinear,714_Conv_53_dequantized,"(1, 512, 28, 28)"
Conv_53_quant,1086_QuantizeInput,"(1, 128, 28, 28)"
1086_Conv_53_QuantizeLinear,1086_quantized,"(1, 128, 28, 28)"
1086_Conv_55_DequantizeLinear,1086_Conv_55_dequantized,"(1, 128, 28, 28)"
Conv_55_quant,1089_QuantizeInput,"(1, 128, 28, 28)"
1089_Conv_55_QuantizeLinear,1089_quantized,"(1, 128, 28, 28)"
1089_Conv_57_DequantizeLinear,1089_Conv_57_dequantized,"(1, 128, 28, 28)"
Conv_57_quant,1092_QuantizeInput,"(1, 512, 28, 28)"
1092_Conv_57_QuantizeLinear,1092_quantized,"(1, 512, 28, 28)"
1092_Conv_57_DequantizeLinear,1092,"(1, 512, 28, 28)"
Add_58,723,"(1, 512, 28, 28)"
Relu_59,724,"(1, 512, 28, 28)"
724_Conv_65_QuantizeLinear,724_Conv_65_QuantizeLinear,"(1, 512, 28, 28)"
724_Conv_65_DequantizeLinear,724_Conv_65_dequantized,"(1, 512, 28, 28)"
Conv_65_quant,1104_QuantizeInput,"(1, 1024, 28, 28)"
Conv_60_quant,1095_QuantizeInput,"(1, 256, 28, 28)"
1104_Conv_65_QuantizeLinear,1104_quantized,"(1, 1024, 28, 28)"
1095_Conv_60_QuantizeLinear,1095_quantized,"(1, 256, 28, 28)"
1104_Conv_65_DequantizeLinear,1104,"(1, 1024, 28, 28)"
1095_Conv_62_DequantizeLinear,1095_Conv_62_dequantized,"(1, 256, 28, 28)"
Conv_62_quant,1098_QuantizeInput,"(1, 256, 28, 28)"
1098_Conv_62_QuantizeLinear,1098_quantized,"(1, 256, 28, 28)"
1098_Conv_64_DequantizeLinear,1098_Conv_64_dequantized,"(1, 256, 28, 28)"
Conv_64_quant,1101_QuantizeInput,"(1, 1024, 28, 28)"
1101_Conv_64_QuantizeLinear,1101_quantized,"(1, 1024, 28, 28)"
1101_Conv_64_DequantizeLinear,1101,"(1, 1024, 28, 28)"
Add_66,735,"(1, 1024, 28, 28)"
Relu_67,736,"(1, 1024, 28, 28)"
736_Conv_68_QuantizeLinear,736_Conv_68_QuantizeLinear,"(1, 1024, 28, 28)"
736_Conv_68_DequantizeLinear,736_Conv_68_dequantized,"(1, 1024, 28, 28)"
Conv_68_quant,1107_QuantizeInput,"(1, 256, 28, 28)"
1107_Conv_68_QuantizeLinear,1107_quantized,"(1, 256, 28, 28)"
1107_Conv_70_DequantizeLinear,1107_Conv_70_dequantized,"(1, 256, 28, 28)"
Conv_70_quant,1110_QuantizeInput,"(1, 256, 28, 28)"
1110_Conv_70_QuantizeLinear,1110_quantized,"(1, 256, 28, 28)"
1110_Conv_72_DequantizeLinear,1110_Conv_72_dequantized,"(1, 256, 28, 28)"
Conv_72_quant,1113_QuantizeInput,"(1, 1024, 28, 28)"
1113_Conv_72_QuantizeLinear,1113_quantized,"(1, 1024, 28, 28)"
1113_Conv_72_DequantizeLinear,1113,"(1, 1024, 28, 28)"
Add_73,745,"(1, 1024, 28, 28)"
Relu_74,746,"(1, 1024, 28, 28)"
746_Conv_75_QuantizeLinear,746_Conv_75_QuantizeLinear,"(1, 1024, 28, 28)"
746_Conv_75_DequantizeLinear,746_Conv_75_dequantized,"(1, 1024, 28, 28)"
Conv_75_quant,1116_QuantizeInput,"(1, 256, 28, 28)"
1116_Conv_75_QuantizeLinear,1116_quantized,"(1, 256, 28, 28)"
1116_Conv_77_DequantizeLinear,1116_Conv_77_dequantized,"(1, 256, 28, 28)"
Conv_77_quant,1119_QuantizeInput,"(1, 256, 28, 28)"
1119_Conv_77_QuantizeLinear,1119_quantized,"(1, 256, 28, 28)"
1119_Conv_79_DequantizeLinear,1119_Conv_79_dequantized,"(1, 256, 28, 28)"
Conv_79_quant,1122_QuantizeInput,"(1, 1024, 28, 28)"
1122_Conv_79_QuantizeLinear,1122_quantized,"(1, 1024, 28, 28)"
1122_Conv_79_DequantizeLinear,1122,"(1, 1024, 28, 28)"
Add_80,755,"(1, 1024, 28, 28)"
Relu_81,756,"(1, 1024, 28, 28)"
756_Conv_82_QuantizeLinear,756_Conv_82_QuantizeLinear,"(1, 1024, 28, 28)"
756_Conv_82_DequantizeLinear,756_Conv_82_dequantized,"(1, 1024, 28, 28)"
Conv_82_quant,1125_QuantizeInput,"(1, 256, 28, 28)"
1125_Conv_82_QuantizeLinear,1125_quantized,"(1, 256, 28, 28)"
1125_Conv_84_DequantizeLinear,1125_Conv_84_dequantized,"(1, 256, 28, 28)"
Conv_84_quant,1128_QuantizeInput,"(1, 256, 28, 28)"
1128_Conv_84_QuantizeLinear,1128_quantized,"(1, 256, 28, 28)"
1128_Conv_86_DequantizeLinear,1128_Conv_86_dequantized,"(1, 256, 28, 28)"
Conv_86_quant,1131_QuantizeInput,"(1, 1024, 28, 28)"
1131_Conv_86_QuantizeLinear,1131_quantized,"(1, 1024, 28, 28)"
1131_Conv_86_DequantizeLinear,1131,"(1, 1024, 28, 28)"
Add_87,765,"(1, 1024, 28, 28)"
Relu_88,766,"(1, 1024, 28, 28)"
766_Conv_89_QuantizeLinear,766_Conv_89_QuantizeLinear,"(1, 1024, 28, 28)"
766_Conv_89_DequantizeLinear,766_Conv_89_dequantized,"(1, 1024, 28, 28)"
Conv_89_quant,1134_QuantizeInput,"(1, 256, 28, 28)"
1134_Conv_89_QuantizeLinear,1134_quantized,"(1, 256, 28, 28)"
1134_Conv_91_DequantizeLinear,1134_Conv_91_dequantized,"(1, 256, 28, 28)"
Conv_91_quant,1137_QuantizeInput,"(1, 256, 28, 28)"
1137_Conv_91_QuantizeLinear,1137_quantized,"(1, 256, 28, 28)"
1137_Conv_93_DequantizeLinear,1137_Conv_93_dequantized,"(1, 256, 28, 28)"
Conv_93_quant,1140_QuantizeInput,"(1, 1024, 28, 28)"
1140_Conv_93_QuantizeLinear,1140_quantized,"(1, 1024, 28, 28)"
1140_Conv_93_DequantizeLinear,1140,"(1, 1024, 28, 28)"
Add_94,775,"(1, 1024, 28, 28)"
Relu_95,776,"(1, 1024, 28, 28)"
776_Conv_96_QuantizeLinear,776_Conv_96_QuantizeLinear,"(1, 1024, 28, 28)"
776_Conv_96_DequantizeLinear,776_Conv_96_dequantized,"(1, 1024, 28, 28)"
Conv_96_quant,1143_QuantizeInput,"(1, 256, 28, 28)"
1143_Conv_96_QuantizeLinear,1143_quantized,"(1, 256, 28, 28)"
